Name|Semantic tags|"Doppelzuordnung ""Building"" und ""Outdoor"" & Begründung"|Implikationen|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
retail building, primarily used for selling goods to the general public|<TYP>|nein||building=retail||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|retail areas (shops)||PlaceInfo#category
pavilion building, providing facilities for users of sports grounds|<TYP>|nein||building=pavilion|||||||PlaceInfo#category
building related to the public transportation|<TYP>|nein||building=transportation||General building information|Formal information|public transport|||PlaceInfo#category
horse stable|<TYP>|nein||building=stable|||||||PlaceInfo#category
building that was built as a cathedral|<TYP>|nein||building=cathedral|||||||PlaceInfo#category
building that was built as a church|<TYP>|nein||building=church|||||||PlaceInfo#category
building that was built as a mosque|<TYP>|nein||building=mosque|||||||PlaceInfo#category
building that was built as a religious building|<TYP>|nein||building=religious|||||||PlaceInfo#category
building that was built as a riding hall|<TYP>|nein||building=riding_hall|||||||PlaceInfo#category
building that was built as a shrine|<TYP>|nein||building=shrine|||||||PlaceInfo#category
building that was built as a sports hall|<TYP>|nein||building=sports_hall|||||||PlaceInfo#category
building that was built as a synagogue|<TYP>|nein||building=synagogue|||||||PlaceInfo#category
building that was built as a temple|<TYP>|nein||building=temple|||||||PlaceInfo#category
bridge building|<TYP>|nein||building=bridge||General building information|Formal information|bridges between buildings or parts of buildings|||
building used primarily for residential purposes|<TYP>|nein||building=residential|||||||PlaceInfo#category
industrial building where some manufacturing process takes place|<TYP>|nein||building=industrial|||||||PlaceInfo#category
building which forms part of a hospital|<TYP>|nein||building=hospital|||||||PlaceInfo#category
building which was built as stadium|<TYP>|nein||building=stadium|||||||PlaceInfo#category
building within the grounds of a college|<TYP>|nein||building=college|||||||PlaceInfo#category
bungalow building, a holiday cottage|<TYP>|nein||building=bungalow|||||||
bungalow building, a simple single-storey flat house|<TYP>|nein||building=bungalow|||||||StructuredAddress#house
carport, is a covered structure used to offer limited protection to vehicles|<TYP>|nein||building=carport|||||||
slurry tank, circular concrete structure holding liquid manure|<TYP>|nein||building=slurry_tank|||||||
college or university dormitory for shared living of its students|<TYP>|nein||building=dormitory|||||||
warehouse building, commercial building for storage of goods|<TYP>|nein||building=warehouse|||||||
hut building, is a crude shelter|<TYP>|nein||building=hut|||||||
detached residential building|<TYP>|nein||building=detached|||||||StructuredAddress#house
farmhouse is the main building of a farm|<TYP>|nein||building=farm|||||||
generic kindergarten building|<TYP>|nein||building=kindergarten|||||||
generic school building|<TYP>|nein||building=school|||||||
grandstand at racecourse or sports ground|<TYP>|nein||building=grandstand|||||||
hangar is a building used for the storage of airplanes|<TYP>|nein||building=hangar|||||||
bunker, a hardened military building|<TYP>|nein||building=bunker|||||||
semidetached building, house that shares a common wall with another on one side|<TYP>|nein||building=semidetached|||||||StructuredAddress#house
static caravan, mobile home permanently left on a single site|<TYP>|nein||building=static_caravan|||||||
